sent_id,sentence,word,sentence_type,rt,region,sent_pos,response,participant,list,sent_num,RRC_num 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,The,unreduced,286,NP1,1,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,union,unreduced,175,NP1,2,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,that,unreduced,189,rel_pronoun,3,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,was,unreduced,164,aux,4,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,sued,unreduced,164,V,5,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,repeatedly,unreduced,175,Ambig,6,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,for,unreduced,442,Ambig,7,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,damages,unreduced,312,Ambig,8,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,did,unreduced,225,Disambig_region,9,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,not,unreduced,189,Disambig_region,10,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,expect,unreduced,180,Disambig_region,11,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,the,unreduced,190,other,12,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,settlement,unreduced,193,other,13,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,to,unreduced,327,other,14,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,be,unreduced,300,other,15,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,large.,unreduced,303,other,16,NA,  AAQREZOK13OV7, 3, 1, 0 
RRC7_unreduced,The union that was sued repeatedly for damages did not expect the settlement to be large.,Did the union expect a big settlement?,unreduced,1824,Question,17, 1,  AAQREZOK13OV7, 3, 1, 0 
filler27,Anita lay on the grass and looked up at the stars.,Anita,filler,213,filler,1,NA,  AAQREZOK13OV7, 3, 2, 0 
filler27,Anita lay on the grass and looked up at the stars.,lay,filler,204,filler,2,NA,  AAQREZOK13OV7, 3, 2, 0 
filler27,Anita lay on the grass and looked up at the stars.,on,filler,184,filler,3,NA,  AAQREZOK13OV7, 3, 2, 0 
filler27,Anita lay on the grass and looked up at the stars.,the,filler,181,filler,4,NA,  AAQREZOK13OV7, 3, 2, 0 
filler27,Anita lay on the grass and looked up at the stars.,grass,filler,188,filler,5,NA,  AAQREZOK13OV7, 3, 2, 0 
filler27,Anita lay on the grass and looked up at the stars.,and,filler,113,filler,6,NA,  AAQREZOK13OV7, 3, 2, 0 
filler27,Anita lay on the grass and looked up at the stars.,looked,filler,183,filler,7,NA,  AAQREZOK13OV7, 3, 2, 0 
filler27,Anita lay on the grass and looked up at the stars.,up,filler,184,filler,8,NA,  AAQREZOK13OV7, 3, 2, 0 
filler27,Anita lay on the grass and looked up at the stars.,at,filler,211,filler,9,NA,  AAQREZOK13OV7, 3, 2, 0 
filler27,Anita lay on the grass and looked up at the stars.,the,filler,191,filler,10,NA,  AAQREZOK13OV7, 3, 2, 0 
filler27,Anita lay on the grass and looked up at the stars.,stars.,filler,217,filler,11,NA,  AAQREZOK13OV7, 3, 2, 0 
filler27,Anita lay on the grass and looked up at the stars.,Was Anita outside? ,filler,936,Question,12, 1,  AAQREZOK13OV7, 3, 2, 0 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,The,reduced,200,NP1,1,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,man,reduced,222,NP1,2,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,sold,reduced,186,V,3,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,the,reduced,223,Ambig,4,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,orange,reduced,157,Ambig,5,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,car,reduced,149,Ambig,6,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,knew,reduced,153,Disambig_region,7,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,he,reduced,201,Disambig_region,8,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,was,reduced,193,Disambig_region,9,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,not,reduced,400,other,10,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,getting,reduced,210,other,11,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,a,reduced,162,other,12,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,very,reduced,161,other,13,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,good,reduced,148,other,14,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,deal.,reduced,298,other,15,NA,  AAQREZOK13OV7, 3, 3, 1 
RRC9_reduced,The man sold the orange car knew he was not getting a very good deal.,Did the man like the deal he was getting?,reduced,1747,Question,16, 1,  AAQREZOK13OV7, 3, 3, 1 
filler30,The gardener mowed and seeded the wide lawns.,The,filler,281,filler,1,NA,  AAQREZOK13OV7, 3, 4, 1 
filler30,The gardener mowed and seeded the wide lawns.,gardener,filler,188,filler,2,NA,  AAQREZOK13OV7, 3, 4, 1 
filler30,The gardener mowed and seeded the wide lawns.,mowed,filler,317,filler,3,NA,  AAQREZOK13OV7, 3, 4, 1 
