firstlang_eng,first_lang,other_langs,gender,age,age_acquisition,participant,proficiency,something,something2
Yes,NA,NA,male,30,<5,USA, AAQREZOK13OV7,4,Four Year Degree
Yes,NA,NA,male,49,<5, USA,A3QLGMZOLGMBQ1,4,Four Year Degree
Yes,English, no,female,37,<5, USA,AZBH4LJ5SL456,4,High School
Yes,NA, No.,male,22,NA,NA,A3LL096CAY5WHB,NA,High School
Yes,NA, none others.,male,52,<5,NA,A1B76WYZ47BQJ,4,Four Year Degree
Yes,NA, no,male,37,<5, United States,A1Z1O6MMOB3UWW,4,Four Year Degree
Yes,English,NA,male,29,<5,NA,A1IXH2QLUU5BKZ,4,High School
Yes,English, English%2CFrench%2CSpanish,female,28,<5, USA,A2MXNXVCBNRWNL,4,Four Year Degree
Yes,english, spanish ,male,39,<5,NA,A3G8OON0TDPN1E,4,Four Year Degree
Yes,english,NA,female,25,<5, USA,A3D2U4QF7821ZW,4,Four Year Degree
No,Tamil, Tamil,male,32,<5,NA,A1FOTRH3UJMKTS,4,Four Year Degree
Yes,English, Hindi,male,33,<5,NA,A32Q6TNSAG4U3I,4,Four Year Degree
Yes,NA, no,female,34,<5,NA,A1CMDCHS6TMIHU,4,Four Year Degree
Yes,English,NA,male,36,<5,NA,A1NLJ1L4VCQYV2,4,GED
Yes,NA,NA,female,29,<5,USA,A1BXEU20OCUGVZ,4,Four Year Degree
Yes,English, No,male,34,<5,NA,A3ROYQIQXJFFXR,4,Four Year Degree
Yes,NA, no,female,66,NA, USA,AOOLS8280CL0Z,NA,High School
Yes,NA,NA,male,30,<5,United States,A3G6L97AX9KR7F,4,High School
Yes,NA,NA,male,28,<5,NA,AHIJACUG7ZL9B,4,High School
Yes,NA,NA,male,31,<5,NA,A25PFSORDO3SWQ,4,Four Year Degree
Yes,English, Tamil,male,25,5-10,NA,ASZ56AVQ9MQUK,4,Four Year Degree
Yes,NA,NA,male,38,<5, USA,A1FYWSPNO7KN1O,4,Four Year Degree
Yes,English, No.,female,28,<5, USA,AN098C29EGJ6,4,Four Year Degree
Yes,NA,  n,female, 70,<5, US,A35TWG9VW1MB5S,4,High School
